,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
277,2015-10-05,0.653854181934,14.345930349,803,0,0,14.345930349,803,-0.298842584326,-0.630377459427
96,2015-04-07,0.651290455489,9.71061717791,413,0,0,9.71061717791,413,-0.298842584326,-0.630377459427
262,2015-09-20,0.647298051981,27.7724047596,361,0,0,27.7724047596,361,-0.298842584326,-0.630377459427
212,2015-08-01,0.639637726522,26.891311763,684,0,1,26.891311763,684,-0.298842584326,1.58200497029
232,2015-08-21,0.624432320671,13.0780542767,678,0,1,13.0780542767,678,-0.298842584326,1.58200497029
108,2015-04-19,0.620361301818,22.4720135107,219,0,0,22.4720135107,219,-0.298842584326,-0.630377459427
204,2015-07-24,0.619023516553,13.4156280636,700,0,1,13.4156280636,700,-0.298842584326,1.58200497029
249,2015-09-07,0.614720335672,19.9608126358,308,1,0,19.9608126358,308,3.33707552497,-0.630377459427
362,2015-12-29,0.613438681753,11.1087135747,308,0,0,11.1087135747,308,-0.298842584326,-0.630377459427
290,2015-10-18,0.608574528874,15.3888162368,228,0,0,15.3888162368,228,-0.298842584326,-0.630377459427
130,2015-05-11,0.607795032116,12.6518791206,625,0,0,12.6518791206,625,-0.298842584326,-0.630377459427
270,2015-09-28,0.6042182017,21.4100907907,852,0,0,21.4100907907,852,-0.298842584326,-0.630377459427
170,2015-06-20,0.598904836945,17.2143833065,199,0,1,17.2143833065,199,-0.298842584326,1.58200497029
132,2015-05-13,0.57973059879,12.3157334124,730,0,0,12.3157334124,730,-0.298842584326,-0.630377459427
222,2015-08-11,0.576115508291,15.1186236891,371,0,0,15.1186236891,371,-0.298842584326,-0.630377459427
313,2015-11-10,0.574352492007,11.6292072949,548,1,0,11.6292072949,548,3.33707552497,-0.630377459427
302,2015-10-30,0.571588458625,17.7872282525,982,0,1,17.7872282525,982,-0.298842584326,1.58200497029
48,2015-02-18,0.570167812192,10.3185605045,250,0,0,10.3185605045,250,-0.298842584326,-0.630377459427
309,2015-11-06,0.563831297394,15.6869217979,1077,0,1,15.6869217979,1077,-0.298842584326,1.58200497029
271,2015-09-29,0.563185443842,18.1008548384,890,0,0,18.1008548384,890,-0.298842584326,-0.630377459427
20,2015-01-21,0.561075787331,10.1273105689,348,0,0,10.1273105689,348,-0.298842584326,-0.630377459427
279,2015-10-07,0.555595851826,14.2978672471,846,0,0,14.2978672471,846,-0.298842584326,-0.630377459427
239,2015-08-28,0.545500625791,12.2084582034,722,0,1,12.2084582034,722,-0.298842584326,1.58200497029
221,2015-08-10,0.545253411901,14.0754610939,687,0,0,14.0754610939,687,-0.298842584326,-0.630377459427
131,2015-05-12,0.539187986416,12.3905040519,724,0,0,12.3905040519,724,-0.298842584326,-0.630377459427
347,2015-12-14,0.537904797589,12.9024238272,881,0,0,12.9024238272,881,-0.298842584326,-0.630377459427
312,2015-11-09,0.537440777446,14.7027151971,1004,0,0,14.7027151971,1004,-0.298842584326,-0.630377459427
44,2015-02-14,0.527042769846,12.6318681319,39,0,1,12.6318681319,39,-0.298842584326,1.58200497029
72,2015-03-14,0.52581157212,11.2452380952,29,0,1,11.2452380952,29,-0.298842584326,1.58200497029
4,2015-01-05,0.52528415274,9.34083452885,386,0,0,9.34083452885,386,-0.298842584326,-0.630377459427
335,2015-12-02,0.523956970293,11.3724285306,581,0,0,11.3724285306,581,-0.298842584326,-0.630377459427
52,2015-02-22,0.518246387076,16.1975881262,38,0,0,16.1975881262,38,-0.298842584326,-0.630377459427
63,2015-03-05,0.515667776584,17.3746031746,40,0,0,17.3746031746,40,-0.298842584326,-0.630377459427
16,2015-01-17,0.514476354814,10.7362811791,57,0,1,10.7362811791,57,-0.298842584326,1.58200497029
293,2015-10-21,0.512065149302,14.6955263102,1154,0,0,14.6955263102,1154,-0.298842584326,-0.630377459427
83,2015-03-25,0.507500176047,10.3623244715,417,0,0,10.3623244715,417,-0.298842584326,-0.630377459427
334,2015-12-01,0.502703884225,11.9950945674,482,0,0,11.9950945674,482,-0.298842584326,-0.630377459427
190,2015-07-10,0.501050826865,14.9916145561,709,0,1,14.9916145561,709,-0.298842584326,1.58200497029
243,2015-09-01,0.501018232119,13.0231005966,840,0,0,13.0231005966,840,-0.298842584326,-0.630377459427
11,2015-01-12,0.486445612512,9.85213950627,228,0,0,9.85213950627,228,-0.298842584326,-0.630377459427
192,2015-07-12,0.483352933687,19.0667162943,314,0,0,19.0667162943,314,-0.298842584326,-0.630377459427
47,2015-02-17,0.47577004966,10.6642155464,101,1,0,10.6642155464,101,3.33707552497,-0.630377459427
18,2015-01-19,0.473983083902,13.7438980431,143,1,0,13.7438980431,143,3.33707552497,-0.630377459427
50,2015-02-20,0.473849539742,10.3975432679,175,0,1,10.3975432679,175,-0.298842584326,1.58200497029
253,2015-09-11,0.473771661202,13.6045135031,836,0,1,13.6045135031,836,-0.298842584326,1.58200497029
176,2015-06-26,0.472987377516,16.2754873535,684,0,1,16.2754873535,684,-0.298842584326,1.58200497029
33,2015-02-03,0.470012333798,15.6390187893,113,0,0,15.6390187893,113,-0.298842584326,-0.630377459427
328,2015-11-25,0.466607823675,19.5286306869,756,1,0,19.5286306869,756,3.33707552497,-0.630377459427
303,2015-10-31,0.461968601382,17.8702318082,336,0,1,17.8702318082,336,-0.298842584326,1.58200497029
337,2015-12-04,0.459264327685,13.3076756131,876,0,1,13.3076756131,876,-0.298842584326,1.58200497029
138,2015-05-19,0.448845339329,13.8978394385,675,0,0,13.8978394385,675,-0.298842584326,-0.630377459427
319,2015-11-16,0.429445445344,14.754642158,909,0,0,14.754642158,909,-0.298842584326,-0.630377459427
19,2015-01-20,0.428609385131,9.89108205154,411,1,0,9.89108205154,411,3.33707552497,-0.630377459427
77,2015-03-19,0.426095104556,10.533159271,449,0,0,10.533159271,449,-0.298842584326,-0.630377459427
225,2015-08-14,0.425910578209,13.2821775798,725,0,1,13.2821775798,725,-0.298842584326,1.58200497029
281,2015-10-09,0.423342841322,22.7879973018,743,0,1,22.7879973018,743,-0.298842584326,1.58200497029
