,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
176,2015-06-26,1.18166772784,19.7192138995,562,0,1,19.7192138995,562,-0.298842584326,1.58200497029
290,2015-10-18,1.161211637,26.4046276405,176,0,0,26.4046276405,176,-0.298842584326,-0.630377459427
79,2015-03-21,1.14842010953,18.9180418719,96,0,1,18.9180418719,96,-0.298842584326,1.58200497029
143,2015-05-24,1.14448720396,31.0181158888,427,1,0,31.0181158888,427,3.33707552497,-0.630377459427
295,2015-10-23,1.13431954389,20.2535187107,554,0,1,20.2535187107,554,-0.298842584326,1.58200497029
145,2015-05-26,1.1322337129,22.6574299557,519,1,0,22.6574299557,519,3.33707552497,-0.630377459427
357,2015-12-24,1.12328206036,16.3014092694,179,1,0,16.3014092694,179,3.33707552497,-0.630377459427
219,2015-08-08,1.11140943296,22.6238709026,549,0,1,22.6238709026,549,-0.298842584326,1.58200497029
270,2015-09-28,1.08638542912,24.1395939214,739,0,0,24.1395939214,739,-0.298842584326,-0.630377459427
205,2015-07-25,1.0847540139,26.5491266545,509,0,1,26.5491266545,509,-0.298842584326,1.58200497029
144,2015-05-25,1.08341811959,29.5547798323,448,1,0,29.5547798323,448,3.33707552497,-0.630377459427
331,2015-11-28,1.0831659665,21.2546536797,102,0,1,21.2546536797,102,-0.298842584326,1.58200497029
98,2015-04-09,1.08109613747,25.7086043871,176,0,0,25.7086043871,176,-0.298842584326,-0.630377459427
162,2015-06-12,1.06133236358,19.1358834327,534,0,1,19.1358834327,534,-0.298842584326,1.58200497029
182,2015-07-02,1.05281086218,21.2319651545,495,1,0,21.2319651545,495,3.33707552497,-0.630377459427
32,2015-02-02,1.04620109055,9.8125,11,0,0,9.8125,11,-0.298842584326,-0.630377459427
122,2015-05-03,1.03875494439,29.3696227233,389,0,0,29.3696227233,389,-0.298842584326,-0.630377459427
261,2015-09-19,1.01015381209,24.5744669777,516,0,1,24.5744669777,516,-0.298842584326,1.58200497029
247,2015-09-05,1.00715304871,24.1465533326,519,0,1,24.1465533326,519,-0.298842584326,1.58200497029
246,2015-09-04,0.999708947753,21.2566594378,528,0,1,21.2566594378,528,-0.298842584326,1.58200497029
249,2015-09-07,0.998197662818,24.0675196661,489,1,0,24.0675196661,489,3.33707552497,-0.630377459427
325,2015-11-22,0.995502505709,24.9887017578,167,0,0,24.9887017578,167,-0.298842584326,-0.630377459427
342,2015-12-09,0.986489739778,15.7987293471,360,0,0,15.7987293471,360,-0.298842584326,-0.630377459427
178,2015-06-28,0.979758943017,24.410382914,223,0,0,24.410382914,223,-0.298842584326,-0.630377459427
271,2015-09-29,0.978774814568,28.2078221742,665,0,0,28.2078221742,665,-0.298842584326,-0.630377459427
313,2015-11-10,0.978397612066,16.3333251686,245,1,0,16.3333251686,245,3.33707552497,-0.630377459427
333,2015-11-30,0.974700155402,16.521820808,376,0,0,16.521820808,376,-0.298842584326,-0.630377459427
170,2015-06-20,0.972733341685,29.7108017143,292,0,1,29.7108017143,292,-0.298842584326,1.58200497029
262,2015-09-20,0.959571691906,29.9460646473,443,0,0,29.9460646473,443,-0.298842584326,-0.630377459427
190,2015-07-10,0.959049790205,23.5446391532,513,0,1,23.5446391532,513,-0.298842584326,1.58200497029
273,2015-10-01,0.956891526681,23.7010043434,328,0,0,23.7010043434,328,-0.298842584326,-0.630377459427
71,2015-03-13,0.956853531566,14.8933124683,202,0,1,14.8933124683,202,-0.298842584326,1.58200497029
127,2015-05-08,0.950849363854,22.237394447,517,0,1,22.237394447,517,-0.298842584326,1.58200497029
326,2015-11-23,0.950397651759,16.1479910551,353,0,0,16.1479910551,353,-0.298842584326,-0.630377459427
110,2015-04-21,0.944903799413,20.0904482377,335,0,0,20.0904482377,335,-0.298842584326,-0.630377459427
341,2015-12-08,0.943009032529,15.9213804623,401,0,0,15.9213804623,401,-0.298842584326,-0.630377459427
217,2015-08-06,0.938151441844,26.4661418408,686,0,0,26.4661418408,686,-0.298842584326,-0.630377459427
135,2015-05-16,0.9330823143,28.9015620953,253,0,1,28.9015620953,253,-0.298842584326,1.58200497029
318,2015-11-15,0.929849368078,24.4250880072,163,0,0,24.4250880072,163,-0.298842584326,-0.630377459427
328,2015-11-25,0.923902756516,16.5292667228,338,1,0,16.5292667228,338,3.33707552497,-0.630377459427
171,2015-06-21,0.922376956614,27.3273050216,374,0,0,27.3273050216,374,-0.298842584326,-0.630377459427
101,2015-04-12,0.911717020737,23.1602070769,254,0,0,23.1602070769,254,-0.298842584326,-0.630377459427
95,2015-04-06,0.910782223828,21.860620881,335,0,0,21.860620881,335,-0.298842584326,-0.630377459427
85,2015-03-27,0.896911026397,16.6599320436,178,0,1,16.6599320436,178,-0.298842584326,1.58200497029
336,2015-12-03,0.88705374282,16.5533135575,401,0,0,16.5533135575,401,-0.298842584326,-0.630377459427
107,2015-04-18,0.884991265508,28.8433029825,366,0,1,28.8433029825,366,-0.298842584326,1.58200497029
323,2015-11-20,0.880926105477,20.0678422706,501,0,1,20.0678422706,501,-0.298842584326,1.58200497029
141,2015-05-22,0.869048383249,19.9471689454,498,0,1,19.9471689454,498,-0.298842584326,1.58200497029
213,2015-08-02,0.867175195456,29.809701536,534,0,0,29.809701536,534,-0.298842584326,-0.630377459427
39,2015-02-09,0.863262796343,9.95484693878,68,0,0,9.95484693878,68,-0.298842584326,-0.630377459427
136,2015-05-17,0.861753256184,29.3525956376,462,0,0,29.3525956376,462,-0.298842584326,-0.630377459427
349,2015-12-16,0.861303675561,16.7766478639,403,0,0,16.7766478639,403,-0.298842584326,-0.630377459427
354,2015-12-21,0.85756334423,14.1428795684,326,0,0,14.1428795684,326,-0.298842584326,-0.630377459427
214,2015-08-03,0.853342917013,28.3464479711,622,0,0,28.3464479711,622,-0.298842584326,-0.630377459427
102,2015-04-13,0.848981758907,19.0852915066,365,0,0,19.0852915066,365,-0.298842584326,-0.630377459427
93,2015-04-04,0.84752311187,22.4526047261,152,0,1,22.4526047261,152,-0.298842584326,1.58200497029
206,2015-07-26,0.843232657818,28.698063271,437,0,0,28.698063271,437,-0.298842584326,-0.630377459427
114,2015-04-25,0.840880592991,28.0900636644,256,0,1,28.0900636644,256,-0.298842584326,1.58200497029
237,2015-08-26,0.835652435052,18.7712813797,670,0,0,18.7712813797,670,-0.298842584326,-0.630377459427
25,2015-01-26,0.834619604511,21.9829365079,51,0,0,21.9829365079,51,-0.298842584326,-0.630377459427
210,2015-07-30,0.833964248446,17.9005094747,386,0,0,17.9005094747,386,-0.298842584326,-0.630377459427
69,2015-03-11,0.823391799803,18.8041602942,317,0,0,18.8041602942,317,-0.298842584326,-0.630377459427
128,2015-05-09,0.820139836659,27.4253912712,235,0,1,27.4253912712,235,-0.298842584326,1.58200497029
235,2015-08-24,0.819250542246,19.4240524718,674,0,0,19.4240524718,674,-0.298842584326,-0.630377459427
306,2015-11-03,0.815707309175,26.0270942958,663,0,0,26.0270942958,663,-0.298842584326,-0.630377459427
230,2015-08-19,0.810003433776,19.0015289926,667,0,0,19.0015289926,667,-0.298842584326,-0.630377459427
281,2015-10-09,0.806512159279,26.0245689859,447,0,1,26.0245689859,447,-0.298842584326,1.58200497029
314,2015-11-11,0.804803048998,18.8978558385,393,1,0,18.8978558385,393,3.33707552497,-0.630377459427
340,2015-12-07,0.803355100359,17.562661027,401,0,0,17.562661027,401,-0.298842584326,-0.630377459427
316,2015-11-13,0.783702386526,16.6375558435,438,0,1,16.6375558435,438,-0.298842584326,1.58200497029
105,2015-04-16,0.782384904406,20.0708690048,370,0,0,20.0708690048,370,-0.298842584326,-0.630377459427
258,2015-09-16,0.781567639501,18.7597274445,657,0,0,18.7597274445,657,-0.298842584326,-0.630377459427
116,2015-04-27,0.771712025881,21.0495014176,366,0,0,21.0495014176,366,-0.298842584326,-0.630377459427
63,2015-03-05,0.771452866814,13.2619047619,19,0,0,13.2619047619,19,-0.298842584326,-0.630377459427
150,2015-05-31,0.7697391389,22.5134869825,220,0,0,22.5134869825,220,-0.298842584326,-0.630377459427
278,2015-10-06,0.769377725335,21.4432754038,677,0,0,21.4432754038,677,-0.298842584326,-0.630377459427
224,2015-08-13,0.768841527445,23.6649043119,675,0,0,23.6649043119,675,-0.298842584326,-0.630377459427
293,2015-10-21,0.758455754595,20.4895664927,670,0,0,20.4895664927,670,-0.298842584326,-0.630377459427
315,2015-11-12,0.752265495944,22.2702661459,428,1,0,22.2702661459,428,3.33707552497,-0.630377459427
347,2015-12-14,0.752129564998,18.900226242,390,0,0,18.900226242,390,-0.298842584326,-0.630377459427
165,2015-06-15,0.749957890581,18.0657662027,405,0,0,18.0657662027,405,-0.298842584326,-0.630377459427
257,2015-09-15,0.748192326825,22.1961893445,674,0,0,22.1961893445,674,-0.298842584326,-0.630377459427
256,2015-09-14,0.746883789785,25.4241013809,655,0,0,25.4241013809,655,-0.298842584326,-0.630377459427
196,2015-07-16,0.745141164578,22.7866981694,673,0,0,22.7866981694,673,-0.298842584326,-0.630377459427
125,2015-05-06,0.743604116615,27.382538153,427,0,0,27.382538153,427,-0.298842584326,-0.630377459427
26,2015-01-27,0.743556783436,13.7261904762,20,0,0,13.7261904762,20,-0.298842584326,-0.630377459427
228,2015-08-17,0.742429414085,19.0653562905,652,0,0,19.0653562905,652,-0.298842584326,-0.630377459427
254,2015-09-12,0.739939496243,27.7978658264,328,0,1,27.7978658264,328,-0.298842584326,1.58200497029
348,2015-12-15,0.736223432074,16.6704840127,451,0,0,16.6704840127,451,-0.298842584326,-0.630377459427
236,2015-08-25,0.730661778091,19.7893808276,658,0,0,19.7893808276,658,-0.298842584326,-0.630377459427
280,2015-10-08,0.729929560067,21.9229218288,670,0,0,21.9229218288,670,-0.298842584326,-0.630377459427
10,2015-01-11,0.72950033093,20.2581168831,41,0,0,20.2581168831,41,-0.298842584326,-0.630377459427
227,2015-08-16,0.729193638283,27.0051669267,421,0,0,27.0051669267,421,-0.298842584326,-0.630377459427
111,2015-04-22,0.724973027579,20.1572941393,277,0,0,20.1572941393,277,-0.298842584326,-0.630377459427
297,2015-10-25,0.721369793447,22.0937238677,218,0,0,22.0937238677,218,-0.298842584326,-0.630377459427
80,2015-03-22,0.718569827115,21.6301777587,80,0,0,21.6301777587,80,-0.298842584326,-0.630377459427
361,2015-12-28,0.71315658993,21.0482600733,254,0,0,21.0482600733,254,-0.298842584326,-0.630377459427
351,2015-12-18,0.708986638753,15.2570869894,316,0,1,15.2570869894,316,-0.298842584326,1.58200497029
337,2015-12-04,0.706998591632,16.3016004669,404,0,1,16.3016004669,404,-0.298842584326,1.58200497029
33,2015-02-03,0.706043361188,11.8279761905,62,0,0,11.8279761905,62,-0.298842584326,-0.630377459427
304,2015-11-01,0.705218476921,20.8419427376,257,0,0,20.8419427376,257,-0.298842584326,-0.630377459427
7,2015-01-08,0.704556289144,10.7247374388,104,0,0,10.7247374388,104,-0.298842584326,-0.630377459427
259,2015-09-17,0.704061402465,22.3148925215,665,0,0,22.3148925215,665,-0.298842584326,-0.630377459427
53,2015-02-23,0.701518417378,11.2085137085,83,0,0,11.2085137085,83,-0.298842584326,-0.630377459427
265,2015-09-23,0.699612529275,19.5256741593,648,0,0,19.5256741593,648,-0.298842584326,-0.630377459427
191,2015-07-11,0.697102039438,22.1483611,465,0,1,22.1483611,465,-0.298842584326,1.58200497029
212,2015-08-01,0.696652087065,22.9806951165,461,0,1,22.9806951165,461,-0.298842584326,1.58200497029
199,2015-07-19,0.695377020352,27.6318459938,454,0,0,27.6318459938,454,-0.298842584326,-0.630377459427
59,2015-03-01,0.692501223939,14.96,21,0,0,14.96,21,-0.298842584326,-0.630377459427
324,2015-11-21,0.688323333612,24.5413128394,204,0,1,24.5413128394,204,-0.298842584326,1.58200497029
134,2015-05-15,0.687198483422,21.1648967174,464,0,1,21.1648967174,464,-0.298842584326,1.58200497029
140,2015-05-21,0.686467652325,19.1600810197,402,0,0,19.1600810197,402,-0.298842584326,-0.630377459427
133,2015-05-14,0.684020462062,23.7071467296,657,0,0,23.7071467296,657,-0.298842584326,-0.630377459427
166,2015-06-16,0.680856967411,17.9268035526,428,0,0,17.9268035526,428,-0.298842584326,-0.630377459427
226,2015-08-15,0.67684572631,24.4941413635,441,0,1,24.4941413635,441,-0.298842584326,1.58200497029
344,2015-12-11,0.670935611057,17.0573940025,415,0,1,17.0573940025,415,-0.298842584326,1.58200497029
62,2015-03-04,0.668296733885,11.1840693914,98,0,0,11.1840693914,98,-0.298842584326,-0.630377459427
56,2015-02-26,0.667715559401,10.7165473128,130,0,0,10.7165473128,130,-0.298842584326,-0.630377459427
294,2015-10-22,0.664561623262,20.5042323601,650,0,0,20.5042323601,650,-0.298842584326,-0.630377459427
