,taxi_date,total_amount,geometry
51784227,2015-05-31,9.3,POINT (-73.97982788085938 40.76062774658203)
51784413,2015-05-31,11.15,POINT (-73.97515106201173 40.76088333129883)
51784918,2015-05-31,8.8,POINT (-73.97864532470702 40.76272583007813)
51785263,2015-05-31,75.05,POINT (-73.97914123535155 40.7624397277832)
51785277,2015-05-31,9.8,POINT (-73.97475433349609 40.75793838500977)
51785462,2015-05-31,9.95,POINT (-73.97309875488281 40.76133346557617)
51785518,2015-05-31,15.36,POINT (-73.98052978515625 40.75985336303711)
51787859,2015-05-31,9.8,POINT (-73.97203063964845 40.76010894775391)
51787912,2015-05-31,17.29,POINT (-73.97550201416014 40.75772857666016)
51788899,2015-05-31,7.8,POINT (-73.97296905517578 40.7558479309082)
51788999,2015-05-31,7.56,POINT (-73.97368621826173 40.7581787109375)
51789871,2015-05-31,8.3,POINT (-73.97988891601562 40.76063537597656)
51793446,2015-05-31,8.8,POINT (-73.97783660888672 40.75466918945313)
51794042,2015-05-31,19.8,POINT (-73.97319793701173 40.75490188598633)
51794974,2015-05-31,8.3,POINT (-73.98098754882812 40.75975036621094)
51831976,2015-05-31,7.55,POINT (-73.97367095947266 40.75449752807617)
51832026,2015-05-31,38.84,POINT (-73.98020172119139 40.76131057739258)
51832103,2015-05-31,43.01,POINT (-73.97212982177734 40.76070022583008)
51832124,2015-05-31,8.75,POINT (-73.97988128662109 40.76185607910156)
51833251,2015-05-31,7.8,POINT (-73.97177886962891 40.75675582885742)
51833264,2015-05-31,8.8,POINT (-73.97300720214845 40.75561904907227)
51834398,2015-05-31,10.3,POINT (-73.9725341796875 40.75627136230469)
51835613,2015-05-31,58.34,POINT (-73.97402954101562 40.75765991210938)
51836374,2015-05-31,40.34,POINT (-73.97362518310547 40.76222229003906)
51836704,2015-05-31,20.76,POINT (-73.97779083251955 40.75491333007813)
51836708,2015-05-31,17.3,POINT (-73.97541046142578 40.76113128662109)
51837034,2015-05-31,25.55,POINT (-73.97338104248048 40.75696563720703)
51838075,2015-05-31,11.75,POINT (-73.97222137451173 40.75912857055664)
51838136,2015-05-31,47.3,POINT (-73.97277069091797 40.75888442993164)
51838139,2015-05-31,24.96,POINT (-73.97254180908203 40.75630950927734)
51839410,2015-05-31,17.3,POINT (-73.97909545898438 40.76094818115234)
51839416,2015-05-31,14.76,POINT (-73.97869873046875 40.76021957397461)
51839662,2015-05-31,26.15,POINT (-73.97913360595702 40.76250076293945)
51839698,2015-05-31,17.76,POINT (-73.97244262695312 40.75606155395508)
51839704,2015-05-31,9.8,POINT (-73.97258758544923 40.75584030151367)
51840264,2015-05-31,7.3,POINT (-73.97672271728516 40.76259994506836)
51840269,2015-05-31,12.25,POINT (-73.97740936279298 40.75406646728516)
51840435,2015-05-31,20.3,POINT (-73.97256469726562 40.75637817382813)
51840638,2015-05-31,27.8,POINT (-73.97374725341797 40.75469207763672)
51840796,2015-05-31,4.8,POINT (-73.97374725341797 40.75723266601562)
51840825,2015-05-31,7.3,POINT (-73.97877502441406 40.75745010375977)
51841266,2015-05-31,11.62,POINT (-73.97698211669923 40.76322174072266)
51841339,2015-05-31,18.8,POINT (-73.97771453857422 40.75508499145508)
51841474,2015-05-31,12.3,POINT (-73.97126007080078 40.75841903686523)
51841504,2015-05-31,6.36,POINT (-73.97559356689453 40.75503540039063)
51841996,2015-05-31,5.8,POINT (-73.97899627685547 40.75619888305664)
51842044,2015-05-31,19.56,POINT (-73.97833251953125 40.75795364379883)
51842059,2015-05-31,14.16,POINT (-73.97265625 40.75624847412109)
51842317,2015-05-31,21.95,POINT (-73.97396087646483 40.75624084472656)
51842346,2015-05-31,11.3,POINT (-73.97236633300781 40.75804138183594)
51842387,2015-05-31,14.15,POINT (-73.9791259765625 40.75532150268555)
51842761,2015-05-31,7.8,POINT (-73.97528076171875 40.76222229003906)
51845202,2015-05-31,18.3,POINT (-73.97953033447266 40.76148986816406)
51845248,2015-05-31,8.8,POINT (-73.97178649902342 40.75964736938477)
51879987,2015-05-31,58.34,POINT (-73.97478485107422 40.75864410400391)
51880162,2015-05-31,6.8,POINT (-73.97280120849609 40.75614166259766)
51880169,2015-05-31,11.44,POINT (-73.9805145263672 40.76034545898438)
51881799,2015-05-31,11.76,POINT (-73.97145080566406 40.75791549682617)
51881800,2015-05-31,19.8,POINT (-73.97452545166014 40.756591796875)
51881994,2015-05-31,9.3,POINT (-73.97576141357422 40.76079177856445)
51882447,2015-05-31,6.3,POINT (-73.97264862060547 40.75561141967773)
51882540,2015-05-31,12.36,POINT (-73.97462463378906 40.7537498474121)
51883578,2015-05-31,12.96,POINT (-73.97763061523438 40.75798034667969)
51883841,2015-05-31,8.3,POINT (-73.97985076904298 40.75524139404297)
51884155,2015-05-31,10.55,POINT (-73.97515869140625 40.75852584838867)
51884227,2015-05-31,13.8,POINT (-73.97530364990234 40.75771331787109)
51884428,2015-05-31,11.3,POINT (-73.97325897216798 40.75797653198241)
51884435,2015-05-31,8.8,POINT (-73.97199249267578 40.75861740112305)
51884442,2015-05-31,6.8,POINT (-73.9779739379883 40.75466156005859)
51884546,2015-05-31,7.3,POINT (-73.97411346435547 40.75651550292969)
51884614,2015-05-31,3.3,POINT (-73.973876953125 40.75648880004883)
51884740,2015-05-31,10.8,POINT (-73.98095703125 40.75904083251953)
51884757,2015-05-31,5.8,POINT (-73.97843170166014 40.75878524780273)
51885091,2015-05-31,9.8,POINT (-73.97274780273438 40.75902557373047)
51897426,2015-05-31,16.3,POINT (-73.97451019287109 40.7630729675293)
51897474,2015-05-31,10.3,POINT (-73.97707366943358 40.7610969543457)
51897909,2015-05-31,8.8,POINT (-73.97746276855469 40.75369644165039)
51897916,2015-05-31,27.8,POINT (-73.97267150878906 40.76165390014648)
51897920,2015-05-31,16.55,POINT (-73.97390747070312 40.75447463989258)
51898859,2015-05-31,9.75,POINT (-73.974853515625 40.75881958007813)
51898901,2015-05-31,7.8,POINT (-73.97569274902342 40.75757598876953)
51899329,2015-05-31,10.3,POINT (-73.97388458251955 40.75823593139648)
51899344,2015-05-31,6.3,POINT (-73.97133636474609 40.75754928588867)
51899370,2015-05-31,51.62,POINT (-73.97634887695312 40.75497436523438)
51899383,2015-05-31,12.36,POINT (-73.97478485107422 40.76179122924805)
51900167,2015-05-31,22.56,POINT (-73.978271484375 40.7628059387207)
51900229,2015-05-31,19.56,POINT (-73.97879028320312 40.76229858398438)
51900257,2015-05-31,11.16,POINT (-73.97572326660156 40.75581359863281)
51900259,2015-05-31,8.3,POINT (-73.97428131103516 40.7620506286621)
51902374,2015-05-31,5.15,POINT (-73.97875213623048 40.75663375854492)
51915142,2015-05-31,12.95,POINT (-73.97396850585938 40.75662231445313)
51915305,2015-05-31,8.3,POINT (-73.97527313232422 40.75777816772461)
51917005,2015-05-31,15.34,POINT (-73.97310638427734 40.75535202026367)
51917178,2015-05-31,6.3,POINT (-73.97811889648438 40.75736999511719)
51917538,2015-05-31,8.8,POINT (-73.97463226318358 40.75642395019531)
51922058,2015-05-31,57.39,POINT (-73.97909545898438 40.76242446899415)
51923515,2015-05-31,7.3,POINT (-73.97347259521484 40.75470352172852)
51923519,2015-05-31,28.56,POINT (-73.9742431640625 40.75855255126953)
51924452,2015-05-31,9.8,POINT (-73.97158050537109 40.75673675537109)
51925060,2015-05-31,6.8,POINT (-73.97861480712891 40.75902557373047)
51958231,2015-05-31,63.36,POINT (-73.97845458984375 40.76213455200195)
51959268,2015-05-31,60.8,POINT (-73.97381591796875 40.75579452514648)
51959429,2015-05-31,7.3,POINT (-73.97502899169923 40.76189804077149)
51959461,2015-05-31,52.61,POINT (-73.9781494140625 40.76288986206055)
51959743,2015-05-31,10.56,POINT (-73.97490692138672 40.75760269165039)
51959744,2015-05-31,12.8,POINT (-73.97345733642578 40.7552604675293)
51959749,2015-05-31,11.8,POINT (-73.97358703613281 40.75634002685547)
51959811,2015-05-31,11.75,POINT (-73.97881317138672 40.76132965087891)
51960185,2015-05-31,11.3,POINT (-73.97431945800781 40.75674057006836)
51960666,2015-05-31,10.3,POINT (-73.97433471679686 40.75632095336913)
51960758,2015-05-31,23.8,POINT (-73.97524261474609 40.757568359375)
51960812,2015-05-31,5.3,POINT (-73.97849273681641 40.75733947753906)
51961248,2015-05-31,13.3,POINT (-73.97909545898438 40.76179122924805)
51961251,2015-05-31,11.0,POINT (-73.98104858398438 40.75787353515625)
51961387,2015-05-31,26.3,POINT (-73.9760208129883 40.76040649414063)
51962061,2015-05-31,11.44,POINT (-73.97645568847656 40.75783920288085)
51962064,2015-05-31,9.8,POINT (-73.97277069091797 40.75587844848633)
51962122,2015-05-31,7.8,POINT (-73.97795104980467 40.75852584838867)
51962201,2015-05-31,26.8,POINT (-73.97279357910156 40.75638961791992)
51962287,2015-05-31,14.1,POINT (-73.97322082519531 40.75585174560547)
51962346,2015-05-31,48.84,POINT (-73.97274017333984 40.7563705444336)
51962521,2015-05-31,11.8,POINT (-73.97141265869139 40.75823593139648)
51962522,2015-05-31,10.8,POINT (-73.97868347167969 40.75602340698241)
51962526,2015-05-31,7.8,POINT (-73.97225952148438 40.76110076904297)
51962636,2015-05-31,7.3,POINT (-73.97452545166014 40.75414657592773)
51963937,2015-05-31,17.8,POINT (-73.97512054443358 40.75535583496094)
51964060,2015-05-31,6.3,POINT (-73.97878265380859 40.76240539550781)
51965698,2015-05-31,14.8,POINT (-73.97357940673827 40.7550163269043)
51965848,2015-05-31,13.56,POINT (-73.9749298095703 40.75581741333008)
51966617,2015-05-31,15.35,POINT (-73.97937774658203 40.75943374633789)
52003180,2015-05-31,38.84,POINT (-73.97213745117188 40.75641250610352)
52003199,2015-05-31,7.3,POINT (-73.97370910644531 40.75550079345703)
52004016,2015-05-31,11.0,POINT (-73.97918701171875 40.76177978515625)
52004090,2015-05-31,9.8,POINT (-73.97349548339844 40.75527572631836)
52007932,2015-05-31,14.3,POINT (-73.97258758544923 40.75630950927734)
52007944,2015-05-31,52.61,POINT (-73.97632598876955 40.75506210327149)
52009786,2015-05-31,15.3,POINT (-73.97746276855469 40.75526428222656)
52010049,2015-05-31,9.8,POINT (-73.97311401367188 40.75915145874024)
52010117,2015-05-31,18.96,POINT (-73.97208404541014 40.7570915222168)
52010161,2015-05-31,15.3,POINT (-73.97786712646483 40.75473403930664)
52010169,2015-05-31,6.95,POINT (-73.97833251953125 40.76284790039063)
52010409,2015-05-31,9.36,POINT (-73.97456359863281 40.75637817382813)
52010500,2015-05-31,9.75,POINT (-73.97412109375 40.75702667236328)
52010640,2015-05-31,28.3,POINT (-73.97837066650391 40.75657653808594)
