,taxi_date,total_amount,geometry
272768,2015-01-27,6.8,POINT (-73.97878265380859 40.76196670532227)
272918,2015-01-27,12.35,POINT (-73.98111724853516 40.75885772705078)
272953,2015-01-27,10.55,POINT (-73.97425842285155 40.76034927368164)
274979,2015-01-27,9.3,POINT (-73.97252655029298 40.75852966308594)
274981,2015-01-27,7.3,POINT (-73.97476959228516 40.75809478759766)
274996,2015-01-27,12.8,POINT (-73.97705078125 40.75807189941406)
275005,2015-01-27,9.96,POINT (-73.97620391845702 40.75444412231445)
275016,2015-01-27,13.3,POINT (-73.98061370849609 40.76007843017577)
276739,2015-01-27,14.5,POINT (-73.97599029541014 40.75464630126953)
276751,2015-01-27,15.36,POINT (-73.97559356689453 40.75634384155273)
279363,2015-01-27,6.8,POINT (-73.97554779052734 40.75859069824219)
284405,2015-01-27,7.54,POINT (-73.97869110107422 40.76224899291992)
294659,2015-01-27,13.0,POINT (-73.98015594482422 40.76100540161133)
294668,2015-01-27,10.0,POINT (-73.98014068603516 40.76094818115234)
296824,2015-01-27,18.36,POINT (-73.97838592529298 40.75984573364258)
302412,2015-01-27,7.8,POINT (-73.98087310791014 40.75949859619141)
302430,2015-01-27,7.8,POINT (-73.9752197265625 40.76001358032227)
306885,2015-01-27,8.3,POINT (-73.97206878662109 40.76006698608398)
306911,2015-01-27,7.8,POINT (-73.97174835205078 40.75835037231445)
306915,2015-01-27,9.3,POINT (-73.97834014892578 40.75634384155273)
310020,2015-01-27,9.96,POINT (-73.97490692138672 40.75772857666016)
314824,2015-01-27,5.8,POINT (-73.98106384277344 40.75940322875977)
314833,2015-01-27,12.36,POINT (-73.97878265380859 40.75541305541992)
314836,2015-01-27,7.56,POINT (-73.97566223144531 40.7613639831543)
317542,2015-01-27,7.56,POINT (-73.97142791748048 40.75774765014648)
317545,2015-01-27,17.16,POINT (-73.97810363769531 40.75478363037109)
319059,2015-01-27,13.3,POINT (-73.97995758056641 40.76034545898438)
320081,2015-01-27,6.35,POINT (-73.97690582275391 40.75622177124024)
320886,2015-01-27,9.12,POINT (-73.97495269775391 40.75909805297852)
321393,2015-01-27,11.8,POINT (-73.97593688964845 40.75611114501953)
321402,2015-01-27,13.3,POINT (-73.97238159179686 40.75962829589844)
321413,2015-01-27,7.88,POINT (-73.97213745117188 40.757080078125)
321418,2015-01-27,14.8,POINT (-73.97871398925781 40.76267623901367)
321981,2015-01-27,5.8,POINT (-73.9781951904297 40.75910186767577)
323113,2015-01-27,5.3,POINT (-73.9801025390625 40.76008987426758)
323123,2015-01-27,8.8,POINT (-73.97454071044923 40.7620964050293)
327074,2015-01-27,13.39,POINT (-73.97711181640625 40.75925827026367)
327078,2015-01-27,9.96,POINT (-73.97708892822266 40.75920104980469)
330319,2015-01-27,12.2,POINT (-73.97245025634766 40.75776290893555)
339414,2015-01-27,10.8,POINT (-73.974853515625 40.75608062744141)
339428,2015-01-27,17.29,POINT (-73.97972869873048 40.76079940795898)
343457,2015-01-27,6.3,POINT (-73.97878265380859 40.76275253295898)
349034,2015-01-27,11.3,POINT (-73.97866821289062 40.76261520385742)
349036,2015-01-27,12.8,POINT (-73.97632598876955 40.75592803955078)
353572,2015-01-27,11.76,POINT (-73.97454071044923 40.76113128662109)
353579,2015-01-27,17.25,POINT (-73.97130584716798 40.75778579711913)
353581,2015-01-27,10.8,POINT (-73.97492218017578 40.75513076782227)
358064,2015-01-27,12.8,POINT (-73.97238922119139 40.75624084472656)
375746,2015-01-27,9.3,POINT (-73.97470855712891 40.75545120239258)
375748,2015-01-27,15.36,POINT (-73.97440338134766 40.75888824462891)
382855,2015-01-27,6.8,POINT (-73.97908020019531 40.7625389099121)
382858,2015-01-27,11.75,POINT (-73.97570037841797 40.75777053833008)
382868,2015-01-27,6.3,POINT (-73.97512054443358 40.75444412231445)
384609,2015-01-27,7.8,POINT (-73.97588348388672 40.75493621826172)
384616,2015-01-27,13.55,POINT (-73.97830963134766 40.75552368164063)
384628,2015-01-27,11.3,POINT (-73.97441864013672 40.76141357421875)
386664,2015-01-27,11.8,POINT (-73.97442626953125 40.75708389282227)
386671,2015-01-27,12.3,POINT (-73.97808074951173 40.76092147827149)
