,taxi_date,total_amount,geometry
108499558,2015-09-24,5.76,POINT (-73.97730255126955 40.75571060180664)
108499588,2015-09-24,3.8,POINT (-73.97705841064453 40.75630950927734)
108499637,2015-09-24,4.3,POINT (-73.97696685791014 40.75571060180664)
108499652,2015-09-24,72.89,POINT (-73.97250366210938 40.75568771362305)
108499745,2015-09-24,8.8,POINT (-73.97492218017578 40.75596618652344)
108499760,2015-09-24,8.8,POINT (-73.97908782958984 40.76227188110352)
108499763,2015-09-24,11.16,POINT (-73.97847747802734 40.76188278198241)
108499767,2015-09-24,4.8,POINT (-73.97852325439453 40.75506210327149)
108499800,2015-09-24,7.8,POINT (-73.97525787353516 40.75642013549805)
108499839,2015-09-24,33.84,POINT (-73.97270965576173 40.75517654418945)
108499889,2015-09-24,4.3,POINT (-73.97628021240234 40.75543975830078)
108499903,2015-09-24,9.96,POINT (-73.97939300537109 40.76192092895508)
108499923,2015-09-24,39.84,POINT (-73.97866058349609 40.76177597045898)
108499930,2015-09-24,5.75,POINT (-73.97645568847656 40.75591278076172)
108499968,2015-09-24,5.7,POINT (-73.97691345214844 40.75587463378906)
108500031,2015-09-24,7.8,POINT (-73.97685241699219 40.75747680664063)
108500086,2015-09-24,8.76,POINT (-73.97557830810547 40.76084136962891)
108500102,2015-09-24,7.25,POINT (-73.97439575195312 40.75386428833008)
108500175,2015-09-24,38.81,POINT (-73.97312164306641 40.75515365600585)
108500207,2015-09-24,43.84,POINT (-73.97474670410156 40.75663757324219)
108500216,2015-09-24,3.8,POINT (-73.98094940185547 40.75994873046875)
108500219,2015-09-24,6.35,POINT (-73.97695922851562 40.7559814453125)
108500230,2015-09-24,5.3,POINT (-73.97630310058595 40.75579833984375)
108500262,2015-09-24,11.3,POINT (-73.97507476806641 40.75923538208008)
108500265,2015-09-24,7.3,POINT (-73.97640228271484 40.75579452514648)
108500341,2015-09-24,4.8,POINT (-73.98108673095702 40.75844955444336)
108500354,2015-09-24,6.6,POINT (-73.97681427001955 40.75581359863281)
108500436,2015-09-24,79.05,POINT (-73.97826385498048 40.76190185546875)
108500487,2015-09-24,6.8,POINT (-73.97816467285155 40.75492095947266)
108500495,2015-09-24,5.8,POINT (-73.97537994384766 40.75468826293945)
108500577,2015-09-24,98.75,POINT (-73.97882080078125 40.76233673095703)
108500587,2015-09-24,8.16,POINT (-73.97199249267578 40.75679016113281)
108500588,2015-09-24,8.8,POINT (-73.97425842285155 40.75395965576172)
108500598,2015-09-24,69.99,POINT (-73.97708129882812 40.76332473754883)
108500602,2015-09-24,15.99,POINT (-73.97870635986328 40.76188278198241)
108500623,2015-09-24,75.84,POINT (-73.97801208496094 40.76308822631836)
108500647,2015-09-24,6.3,POINT (-73.97174072265625 40.76023864746094)
108500683,2015-09-24,70.01,POINT (-73.97834014892578 40.7617301940918)
108500694,2015-09-24,12.35,POINT (-73.97438049316406 40.7547607421875)
108500779,2015-09-24,12.3,POINT (-73.97545623779298 40.75512313842773)
108500818,2015-09-24,10.38,POINT (-73.97265625 40.75535202026367)
108500982,2015-09-24,8.8,POINT (-73.97353363037109 40.76033020019531)
108501066,2015-09-24,5.8,POINT (-73.97696685791014 40.75629043579102)
108501109,2015-09-24,6.8,POINT (-73.97697448730467 40.75606155395508)
108501135,2015-09-24,7.3,POINT (-73.97684478759766 40.75893783569336)
108501203,2015-09-24,8.8,POINT (-73.97542572021484 40.75630187988281)
108501207,2015-09-24,8.16,POINT (-73.97651672363281 40.76089096069336)
108501212,2015-09-24,13.3,POINT (-73.97920989990234 40.76197814941406)
108501273,2015-09-24,8.16,POINT (-73.97280120849609 40.7554931640625)
108501353,2015-09-24,4.8,POINT (-73.97734832763672 40.75551605224609)
108501384,2015-09-24,6.3,POINT (-73.97812652587891 40.75406646728516)
108501483,2015-09-24,6.3,POINT (-73.97213745117188 40.75642013549805)
108501545,2015-09-24,10.3,POINT (-73.97895812988281 40.7614860534668)
108501571,2015-09-24,7.25,POINT (-73.97702026367188 40.75433731079102)
108501588,2015-09-24,9.96,POINT (-73.97366333007811 40.75759887695313)
108501622,2015-09-24,7.5,POINT (-73.973876953125 40.75470733642577)
108501679,2015-09-24,32.16,POINT (-73.97877502441406 40.76211547851562)
108501680,2015-09-24,4.8,POINT (-73.97702026367188 40.75606155395508)
108501691,2015-09-24,6.35,POINT (-73.97455596923827 40.7557258605957)
108501706,2015-09-24,8.16,POINT (-73.97962188720702 40.76116943359375)
108501709,2015-09-24,11.8,POINT (-73.97338104248048 40.75494766235352)
108501824,2015-09-24,6.3,POINT (-73.97574615478516 40.75558090209961)
108501860,2015-09-24,5.55,POINT (-73.97795104980467 40.75484085083008)
108501871,2015-09-24,31.56,POINT (-73.978759765625 40.76200103759766)
108501900,2015-09-24,10.56,POINT (-73.9730911254883 40.75530242919922)
108501909,2015-09-24,9.95,POINT (-73.97506713867188 40.75577163696289)
108501957,2015-09-24,7.3,POINT (-73.97642517089844 40.75647735595703)
108501976,2015-09-24,6.0,POINT (-73.97704315185547 40.7556037902832)
108502039,2015-09-24,11.0,POINT (-73.97848510742188 40.76210784912109)
108502041,2015-09-24,4.3,POINT (-73.97599029541014 40.75687026977539)
108502077,2015-09-24,5.8,POINT (-73.97698974609375 40.75411987304688)
108502241,2015-09-24,6.3,POINT (-73.9729766845703 40.75522232055664)
108502271,2015-09-24,9.36,POINT (-73.97221374511719 40.75732040405273)
108502308,2015-09-24,12.8,POINT (-73.97292327880859 40.75576400756836)
108502445,2015-09-24,6.96,POINT (-73.97438049316406 40.75921630859375)
108502449,2015-09-24,70.01,POINT (-73.97968292236328 40.75502777099609)
108502487,2015-09-24,8.3,POINT (-73.9757080078125 40.75944900512695)
108502497,2015-09-24,12.87,POINT (-73.97527313232422 40.75650787353516)
108502561,2015-09-24,8.8,POINT (-73.97277069091797 40.76113891601562)
108502582,2015-09-24,9.3,POINT (-73.97586059570312 40.76279830932617)
108502700,2015-09-24,24.75,POINT (-73.97566223144531 40.7606201171875)
108502715,2015-09-24,58.34,POINT (-73.97770690917969 40.76319885253906)
108502736,2015-09-24,38.84,POINT (-73.97501373291014 40.75649642944336)
108502866,2015-09-24,5.16,POINT (-73.97402954101562 40.7576789855957)
108502913,2015-09-24,5.76,POINT (-73.97801971435547 40.75490951538085)
108502948,2015-09-24,6.96,POINT (-73.97625732421875 40.75667190551758)
108502969,2015-09-24,6.8,POINT (-73.97249603271484 40.75704574584961)
108503076,2015-09-24,10.8,POINT (-73.97798156738281 40.75453186035156)
108503118,2015-09-24,21.95,POINT (-73.97201538085938 40.75685119628906)
108503136,2015-09-24,5.8,POINT (-73.97472381591797 40.75873565673828)
108503183,2015-09-24,18.3,POINT (-73.97409057617188 40.75569915771485)
108503232,2015-09-24,11.15,POINT (-73.98040771484375 40.76057815551758)
108503280,2015-09-24,9.95,POINT (-73.97772979736328 40.75471878051758)
108503335,2015-09-24,27.3,POINT (-73.97354888916014 40.7551383972168)
108503370,2015-09-24,14.76,POINT (-73.97352600097656 40.75471115112305)
108503372,2015-09-24,6.8,POINT (-73.9727020263672 40.75880813598633)
108503528,2015-09-24,9.35,POINT (-73.97454071044923 40.7564811706543)
108503610,2015-09-24,5.3,POINT (-73.97733306884766 40.75559234619141)
108503655,2015-09-24,26.62,POINT (-73.97982025146483 40.75519943237305)
108503674,2015-09-24,4.8,POINT (-73.97536468505859 40.76120376586913)
108503730,2015-09-24,12.8,POINT (-73.97904205322266 40.7620506286621)
108503770,2015-09-24,11.0,POINT (-73.97283172607422 40.75503921508789)
108503780,2015-09-24,5.3,POINT (-73.97676849365234 40.75610733032227)
108503805,2015-09-24,17.15,POINT (-73.97268676757811 40.75506973266602)
108503818,2015-09-24,5.8,POINT (-73.97589874267578 40.76044082641602)
108503819,2015-09-24,8.8,POINT (-73.97525024414062 40.75573348999024)
108503857,2015-09-24,8.19,POINT (-73.97801971435547 40.75463104248047)
108503862,2015-09-24,5.16,POINT (-73.976806640625 40.75608062744141)
108503888,2015-09-24,8.3,POINT (-73.97963714599609 40.7553825378418)
108503901,2015-09-24,11.4,POINT (-73.98098754882812 40.75908279418945)
108503924,2015-09-24,6.24,POINT (-73.97258758544923 40.75643539428711)
108503925,2015-09-24,7.85,POINT (-73.98014831542969 40.76046371459961)
108503938,2015-09-24,4.3,POINT (-73.97275543212891 40.76123046875)
108503945,2015-09-24,5.81,POINT (-73.97610473632812 40.76057434082031)
108503986,2015-09-24,8.75,POINT (-73.97453308105469 40.75654220581055)
108503991,2015-09-24,10.3,POINT (-73.97264099121094 40.75620269775391)
108504006,2015-09-24,7.3,POINT (-73.9737548828125 40.75496292114258)
108504019,2015-09-24,5.3,POINT (-73.97708892822266 40.75582885742188)
108504060,2015-09-24,22.56,POINT (-73.97758483886719 40.7585334777832)
108504066,2015-09-24,18.3,POINT (-73.97339630126955 40.75496673583984)
108504069,2015-09-24,13.8,POINT (-73.97907257080078 40.76173400878906)
108504099,2015-09-24,10.56,POINT (-73.97410583496094 40.75425338745117)
108504108,2015-09-24,7.3,POINT (-73.98109436035155 40.75850677490234)
108504111,2015-09-24,17.29,POINT (-73.97686004638672 40.75539779663085)
108504124,2015-09-24,12.88,POINT (-73.97219848632812 40.7601318359375)
108504144,2015-09-24,5.76,POINT (-73.97678375244141 40.7561912536621)
108504253,2015-09-24,8.76,POINT (-73.97315216064453 40.76179885864258)
108504261,2015-09-24,6.3,POINT (-73.97325134277344 40.75531387329102)
