,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
128,2015-05-09,2.12000700414,13.456313605,12047,0,1,0.212132617093,1.49530266738,-0.298842584326,1.58200497029
177,2015-06-27,2.11615239208,12.2984491255,10349,0,1,-1.30489120497,0.447989047338,-0.298842584326,1.58200497029
197,2015-07-17,2.1130309089,14.0393375157,7970,0,1,0.976005399192,-1.01936024717,-0.298842584326,1.58200497029
113,2015-04-24,2.11155011642,13.9373221327,11666,0,1,0.842345744757,1.26030473497,-0.298842584326,1.58200497029
136,2015-05-17,2.10382678999,14.8070469035,8784,0,0,1.98185146345,-0.517291173726,-0.298842584326,-0.630377459427
94,2015-04-05,2.09810449458,12.4644755737,7103,0,0,-1.08736481787,-1.55411932172,-0.298842584326,-0.630377459427
352,2015-12-19,2.09474119491,12.5802680704,11303,0,1,-0.935654510616,1.03640906708,-0.298842584326,1.58200497029
15,2015-01-16,2.08696701126,12.6823830269,11477,0,1,-0.801864395851,1.14373095747,-0.298842584326,1.58200497029
37,2015-02-07,2.08138336033,12.4408023952,10855,0,1,-1.11838120739,0.760086038941,-0.298842584326,1.58200497029
359,2015-12-26,2.08043521199,12.1367835757,7014,1,1,-1.51670398151,-1.60901385186,3.33707552497,1.58200497029
295,2015-10-23,2.080129206,14.3204283548,10552,0,1,1.34428813578,0.573197919463,-0.298842584326,1.58200497029
135,2015-05-16,2.07239357517,14.3348073782,10409,0,1,1.36312740536,0.484996595749,-0.298842584326,1.58200497029
174,2015-06-24,2.06467099677,14.8185297538,10318,0,0,1.99689619266,0.428868480659,-0.298842584326,-0.630377459427
246,2015-09-04,2.06003249262,12.9957992469,7701,0,1,-0.391229230632,-1.18527742255,-0.298842584326,1.58200497029
316,2015-11-13,2.05615739816,14.1641708224,11029,0,1,1.13956089587,0.867407929334,-0.298842584326,1.58200497029
239,2015-08-28,2.04799393059,13.3030324957,7601,0,1,0.0113050604801,-1.2469566699,-0.298842584326,1.58200497029
191,2015-07-11,2.04779064916,12.6266820332,8243,0,1,-0.87484334617,-0.850975901902,-0.298842584326,1.58200497029
186,2015-07-06,2.03910886602,12.55645989,7093,0,0,-0.966847778439,-1.56028724645,-0.298842584326,-0.630377459427
111,2015-04-22,2.03877631336,14.3542639847,12031,0,0,1.38861927944,1.4854339878,-0.298842584326,-0.630377459427
127,2015-05-08,2.02489271233,13.9704379626,11348,0,1,0.885733812877,1.06416472839,-0.298842584326,1.58200497029
132,2015-05-13,2.01735749081,14.4127397722,11855,0,0,1.46523374019,1.37687851246,-0.298842584326,-0.630377459427
225,2015-08-14,2.01403605672,13.8091518589,7935,0,1,0.674418183172,-1.04094798375,-0.298842584326,1.58200497029
273,2015-10-01,2.00811720571,14.7130475925,10779,0,0,1.8586943959,0.713209810953,-0.298842584326,-0.630377459427
47,2015-02-17,2.00507115301,13.4593446184,11047,1,0,0.216103824102,0.878510193857,3.33707552497,-0.630377459427
17,2015-01-18,1.9998224606,11.256106921,9016,1,0,-2.67055876184,-0.374195319869,3.33707552497,-0.630377459427
86,2015-03-28,1.99699519192,12.6258960427,11043,0,1,-0.875873143985,0.876043023963,-0.298842584326,1.58200497029
140,2015-05-21,1.99050542736,14.5351964036,11456,0,0,1.62567533785,1.13077831553,-0.298842584326,-0.630377459427
329,2015-11-26,1.98950336485,13.3983954414,5528,1,0,0.136248750241,-2.52556746752,3.33707552497,-0.630377459427
337,2015-12-04,1.983661657,14.1649789346,10681,0,1,1.14061967732,0.652764148548,-0.298842584326,1.58200497029
221,2015-08-10,1.97891680939,12.7670114778,6970,0,0,-0.69098494647,-1.6361527207,-0.298842584326,-0.630377459427
22,2015-01-23,1.97795013121,12.9323016011,11492,0,1,-0.474423285664,1.15298284458,-0.298842584326,1.58200497029
121,2015-05-02,1.97527796162,12.5348522098,10657,0,1,-0.995157970356,0.637961129183,-0.298842584326,1.58200497029
154,2015-06-04,1.96450739259,14.4840296566,11532,0,0,1.55863711749,1.17765454352,-0.298842584326,-0.630377459427
156,2015-06-06,1.96336189645,12.4558886021,10072,0,1,-1.09861539232,0.277137532172,-0.298842584326,1.58200497029
10,2015-01-11,1.96229670689,11.9392769556,9460,0,0,-1.77547541203,-0.100339461624,-0.298842584326,-0.630377459427
38,2015-02-08,1.96075282265,12.1244190846,8237,0,0,-1.53290382861,-0.854676656743,-0.298842584326,-0.630377459427
303,2015-10-31,1.95936750454,12.4685974589,10153,0,1,-1.08196436028,0.327097722527,-0.298842584326,1.58200497029
120,2015-05-01,1.95531346152,13.7973950097,11382,0,1,0.659014463126,1.08513567249,-0.298842584326,1.58200497029
51,2015-02-21,1.95193246081,12.504373913,10350,0,1,-1.03509036579,0.448605839811,-0.298842584326,1.58200497029
288,2015-10-16,1.95163806633,14.0251815031,10964,0,1,0.957458316442,0.827316418555,-0.298842584326,1.58200497029
330,2015-11-27,1.95138976639,12.1120732944,7886,1,1,-1.54907917393,-1.07117081495,3.33707552497,1.58200497029
232,2015-08-21,1.94593567724,13.3148722512,7867,0,1,0.0268174035781,-1.08288987195,-0.298842584326,1.58200497029
289,2015-10-17,1.92980957665,12.9183350989,11328,0,1,-0.492722073639,1.05182887892,-0.298842584326,1.58200497029
272,2015-09-30,1.92397370873,14.6826128357,10502,0,0,1.81881904603,0.542358295787,-0.298842584326,-0.630377459427
4,2015-01-05,1.92172772385,12.0246671914,8894,0,0,-1.66359787877,-0.449444001638,-0.298842584326,-0.630377459427
344,2015-12-11,1.919268509,14.0369231482,10787,0,1,0.972842116266,0.718144150741,-0.298842584326,1.58200497029
29,2015-01-30,1.91317765425,13.0321783395,11394,0,1,-0.343565664547,1.09253718217,-0.298842584326,1.58200497029
171,2015-06-21,1.90675966905,12.2531519019,7992,0,0,-1.36423922757,-1.00579081276,-0.298842584326,-0.630377459427
274,2015-10-02,1.89971463604,13.8354899497,11144,0,1,0.708926117408,0.938339063789,-0.298842584326,1.58200497029
242,2015-08-31,1.89603843218,12.9420180464,6982,0,0,-0.461692884797,-1.62875121102,-0.298842584326,-0.630377459427
24,2015-01-25,1.89179711922,12.1426910733,8413,0,0,-1.50896403025,-0.746121181403,-0.298842584326,-0.630377459427
